{'sampling_frequency': 9760, 'n_samples': 1000}
Time (s),Voltage (mV),Sync
0.0,2094.7458386421204,0
0.00010245901639344262,2118.248963356018,0
0.00020491803278688525,2125.0664234161377,0
0.00030737704918032784,2115.1195406913757,0
0.0004098360655737705,2088.4984016418457,0
0.0005122950819672131,2045.7557201385498,0
0.0006147540983606557,1987.571668624878,0
0.0007172131147540983,1914.8455381393433,0
0.000819672131147541,1828.9616703987122,0
0.0009221311475409836,1731.3138484954834,0
0.0010245901639344263,1623.8977432250977,0
0.001127049180327869,1508.2326292991636,0
0.0012295081967213114,1386.4038705825806,0
0.001331967213114754,1260.616421699524,0
0.0014344262295081967,1133.14368724823,0
0.0015368852459016393,1006.0250043869019,0
0.001639344262295082,881.5046668052673,0
0.0017418032786885246,761.8600130081177,0
0.0018442622950819673,649.0823864936827,0
0.00194672131147541,545.0447201728821,0
0.0020491803278688526,451.52395963668823,0
0.002151639344262295,370.382809638977,0
0.002254098360655738,303.0779957771301,0
0.0023565573770491805,250.3825306892395,0
0.0024590163934426227,213.47737312316895,0
0.0025614754098360654,193.0104374885559,0
0.002663934426229508,189.20516967773438,0
0.0027663934426229507,202.23702192306516,0
0.0028688524590163933,231.9372296333313,0
0.002971311475409836,277.4706244468689,0
0.0030737704918032786,338.1708025932312,0
0.0031762295081967213,413.2647514343262,0
0.003278688524590164,501.392912864685,0
0.0033811475409836066,600.7751941680908,0
0.0034836065573770492,709.80144739151,0
0.003586065573770492,826.6447663307189,0
0.0036885245901639345,949.2209672927856,0
0.003790983606557377,1075.3424048423767,0
0.00389344262295082,1202.95912027359,0
0.003995901639344262,1329.8224925994873,0
0.004098360655737705,1453.6724925041199,0
0.004200819672131147,1572.3450779914856,0
0.00430327868852459,1683.758819103241,0
0.004405737704918033,1786.0156059265134,0
0.004508196721311476,1877.4199247360227,0
0.004610655737704918,1956.3883781433105,0
0.004713114754098361,2021.2400078773496,0
0.004815573770491803,2071.1459398269653,0
0.0049180327868852455,2105.0849318504333,0
0.0050204918032786885,2122.4783062934875,0
0.005122950819672131,2123.30482006073,0
0.005225409836065574,2107.39688873291,0
0.005327868852459016,2074.821388721466,0
0.005430327868852459,2026.2887835502625,0
0.005532786885245901,1962.6074910163877,0
0.0056352459016393444,1884.9710583686826,0
0.005737704918032787,1794.8133945465088,0
0.00584016393442623,1693.4995651245117,0
0.005942622950819672,1582.7994346618652,0
0.006045081967213115,1464.696478843689,0
0.006147540983606557,1341.2646532058714,0
0.00625,1214.6475434303284,0
0.0063524590163934426,1086.940348148346,0
0.006454918032786886,960.5754017829895,0
0.006557377049180328,837.7879500389098,0
0.00665983606557377,720.375394821167,0
0.006762295081967213,610.4647994041442,0
0.006864754098360655,509.98023748397827,0
0.0069672131147540985,420.7792997360229,0
0.007069672131147541,344.53192949295044,0
0.007172131147540984,282.3789596557617,0
0.007274590163934426,235.2004051208496,0
0.007377049180327869,204.1646361351013,0
0.007479508196721311,189.71500396728513,0
0.007581967213114754,191.9899821281433,0
0.007684426229508197,211.07454299926755,0
0.00778688524590164,246.65279388427732,0
0.007889344262295083,297.99342155456543,0
0.007991803278688524,364.1259312629699,0
0.008094262295081967,444.0924167633056,0
0.00819672131147541,536.459755897522,0
