{'sampling_frequency': 9760, 'n_samples': 1000}
Time (s),Voltage (mV),Sync
0.0,1419.4777965545652,0
0.00010245901639344262,1539.614975452423,0
0.00020491803278688525,1653.3725380897522,0
0.00030737704918032784,1758.5518240928648,0
0.0004098360655737705,1853.0308842658997,0
0.0005122950819672131,1935.49028635025,0
0.0006147540983606557,2004.5087099075317,0
0.0007172131147540983,2058.800160884857,0
0.000819672131147541,2097.298157215118,0
0.0009221311475409836,2119.456672668457,0
0.0010245901639344263,2124.956274032593,0
0.001127049180327869,2113.598692417145,0
0.0012295081967213114,2085.65182685852,0
0.001331967213114754,2041.4339303970337,0
0.0014344262295081967,1981.960344314575,0
0.0015368852459016393,1908.1519961357117,0
0.001639344262295082,1821.1733222007751,0
0.0017418032786885246,1722.7206230163574,0
0.0018442622950819673,1614.5869731903076,0
0.00194672131147541,1498.3341336250305,0
0.0020491803278688526,1376.139521598816,0
0.002151639344262295,1250.1632452011106,0
0.002254098360655738,1122.6027846336365,0
0.0023565573770491805,995.6583738327026,0
0.0024590163934426227,871.4975953102111,0
0.0025614754098360654,752.2101402282715,0
0.002663934426229508,639.9431347846985,0
0.0027663934426229507,536.7150664329529,0
0.0028688524590163933,444.2942261695861,0
0.002971311475409836,364.35370445251465,0
0.0030737704918032786,298.14133644104004,0
0.0031762295081967213,246.65436744689939,0
0.003278688524590164,211.12135648727414,0
0.0033811475409836066,192.08872318267822,0
0.0034836065573770492,189.64812755584714,0
0.003586065573770492,204.0997266769409,0
0.0036885245901639345,235.08238792419434,0
0.003790983606557377,281.99028968811035,0
0.00389344262295082,344.12240982055664,0
0.003995901639344262,420.40793895721436,0
0.004098360655737705,509.37992334365845,0
0.004200819672131147,609.5741629600525,0
0.00430327868852459,719.4619417190551,0
0.004405737704918033,836.8977069854736,0
0.004508196721311476,959.8177313804625,0
0.004610655737704918,1086.0772490501402,0
0.004713114754098361,1213.6963248252869,0
0.004815573770491803,1340.3508067131042,0
0.0049180327868852455,1463.9120578765867,0
0.0050204918032786885,1582.0634007453918,0
0.005122950819672131,1692.7804470062256,0
0.005225409836065574,1794.2744493484497,0
0.005327868852459016,1884.6126794815063,0
0.005430327868852459,1962.3942732810972,0
0.005532786885245901,2026.0928750038145,0
0.0056352459016393444,2074.7761487960815,0
0.005737704918032787,2107.4079036712646,0
0.00584016393442623,2123.4798789024353,0
0.005942622950819672,2122.6706743240356,0
0.006045081967213115,2105.1982283592224,0
0.006147540983606557,2071.2564826011658,0
0.00625,2021.5224623680115,0
0.0063524590163934426,1956.7298412322998,0
0.006454918032786886,1877.949821949005,0
0.006557377049180328,1786.77681684494,0
0.00665983606557377,1684.5542550086973,0
0.006762295081967213,1573.202669620514,0
0.006864754098360655,1454.6197772026062,0
0.0069672131147540985,1330.6926727294922,0
0.007069672131147541,1203.7923216819763,0
0.007172131147540984,1076.2542843818662,0
0.007274590163934426,950.1741528511047,0
0.007377049180327869,827.5566458702087,0
0.007479508196721311,710.7542395591735,0
0.007581967213114754,601.6713380813599,0
0.007684426229508197,502.1250128746032,0
0.00778688524590164,414.0350103378296,0
0.007889344262295083,338.71328830718994,0
0.007991803278688524,277.80225276947016,0
0.008094262295081967,232.11818933486938,0
0.00819672131147541,202.47108936309812,0
0.008299180327868852,189.43805694580075,0
0.008401639344262295,193.17723512649533,0
0.008504098360655738,213.61624002456665,0
0.00860655737704918,250.46553611755368,0
0.008709016393442622,302.963125705719,0
0.008811475409836065,370.4127073287964,0
0.008913934426229508,451.4673113822937,0
0.009016393442622951,544.7001099586487,0
0.009118852459016393,648.6323475837708,0
0.009221311475409836,761.3002181053162,0
0.009323770491803279,880.9999465942382,0
0.009426229508196722,1005.4636359214782,0
0.009528688524590163,1132.4509263038635,0
0.009631147540983606,1260.0389242172241,0
0.00973360655737705,1385.7866406440733,0
0.009836065573770491,1507.5843214988706,0
0.009938524590163934,1623.2569098472593,0
0.010040983606557377,1730.8268308639524,0
0.01014344262295082,1828.3660769462583,0
0.010245901639344262,1914.3593072891233,0
0.010348360655737705,1987.1023535728455,0
0.010450819672131148,2045.3662633895874,0
0.01055327868852459,2088.2230281829834,0
0.010655737704918032,2115.010571479797,0
