Metadata goes here
Time (ms),Voltage (mV)
0.0,1.1477597236633301
0.10245901639344263,1.1477813601493836
0.20491803278688525,1.1477927684783935
0.3073770491803279,1.1477648377418517
0.4098360655737705,1.1477660179138183
0.5122950819672132,1.1477762460708618
0.6147540983606558,1.1477782130241394
0.7172131147540983,1.1477864742279051
0.819672131147541,1.1477841138839722
0.9221311475409837,1.1477967023849487
1.0245901639344264,1.1477864742279051
1.1270491803278688,1.1477774262428284
1.2295081967213115,1.14777113199234
1.3319672131147542,1.1477786064147948
1.4344262295081966,1.1477833271026612
1.5368852459016393,1.1477841138839722
1.639344262295082,1.1477742791175842
1.7418032786885247,1.1477746725082396
1.8442622950819674,1.1477888345718383
1.9467213114754098,1.1477849006652832
2.0491803278688527,1.1477797865867614
2.151639344262295,1.1477849006652832
2.2540983606557377,1.1477994561195373
2.3565573770491803,1.1478022098541258
2.459016393442623,1.1478147983551026
2.5614754098360657,1.1477927684783935
2.6639344262295084,1.1477738857269286
2.766393442622951,1.1477829337120056
2.8688524590163933,1.147781753540039
2.971311475409836,1.147771918773651
3.0737704918032787,1.1477876543998717
3.1762295081967213,1.1477856874465941
3.278688524590164,1.1477829337120056
3.3811475409836067,1.1477852940559388
3.4836065573770494,1.147792375087738
3.586065573770492,1.1477616906166077
3.6885245901639347,1.1477805733680724
3.790983606557377,1.1477762460708618
3.8934426229508197,1.1477734923362732
3.9959016393442623,1.1477534294128418
4.0983606557377055,1.1477687716484068
4.200819672131147,1.1477789998054504
4.30327868852459,1.1477691650390625
4.405737704918033,1.147796308994293
4.508196721311475,1.1477856874465941
4.610655737704918,1.1478014230728149
4.713114754098361,1.1477919816970825
4.815573770491803,1.1478108644485474
4.918032786885246,1.1478191256523131
5.020491803278689,1.147802996635437
5.122950819672131,1.1478057503700256
5.225409836065574,1.14780535697937
5.327868852459017,1.1477829337120056
5.430327868852459,1.147803783416748
5.532786885245902,1.1478065371513366
5.635245901639345,1.1477943420410155
